beta  ances 
0.239 0.320
0.222 0.321
0.220 0.322
0.222 0.323
0.222 0.324
0.222 0.322
0.222 0.323
0.222 0.326
0.222 0.325
0.221 0.324
0.222 0.323
0.222 0.323
0.222 0.324
0.222 0.323
0.223 0.324
0.223 0.324
0.222 0.324
0.222 0.324
0.222 0.324
0.222 0.324
0.221 0.324
0.221 0.325
0.222 0.326
0.222 0.326
0.221 0.326
0.222 0.326
0.221 0.326
0.221 0.326
0.221 0.326
0.221 0.326
0.221 0.326
0.221 0.326
0.221 0.327
0.222 0.327
0.222 0.327
0.222 0.327
0.221 0.327
0.221 0.327
0.222 0.326
0.221 0.326
0.221 0.326
0.222 0.326
0.222 0.326
0.222 0.326
0.222 0.325
0.222 0.325
0.222 0.325
0.222 0.325
0.222 0.325
