beta  ances 
0.218 0.312
0.220 0.307
0.221 0.309
0.222 0.313
0.221 0.313
0.220 0.316
0.219 0.315
0.219 0.313
0.218 0.312
0.218 0.312
0.218 0.313
0.218 0.313
0.218 0.312
0.217 0.312
0.217 0.311
0.216 0.312
0.216 0.312
0.216 0.312
0.217 0.313
0.216 0.313
0.217 0.313
0.216 0.314
0.216 0.313
0.215 0.313
0.216 0.313
0.216 0.314
0.216 0.314
0.216 0.314
0.215 0.314
0.215 0.314
0.215 0.314
0.215 0.314
0.216 0.314
0.215 0.314
0.215 0.314
0.216 0.315
0.216 0.315
0.216 0.315
0.216 0.315
0.216 0.314
0.216 0.314
0.216 0.314
0.215 0.314
0.215 0.314
0.215 0.314
0.216 0.314
0.216 0.314
0.216 0.314
0.216 0.314
