beta  ances 
0.222 0.315
0.225 0.310
0.227 0.308
0.229 0.306
0.225 0.305
0.224 0.307
0.226 0.306
0.226 0.310
0.226 0.308
0.226 0.310
0.227 0.308
0.228 0.307
0.228 0.307
0.229 0.307
0.229 0.307
0.228 0.307
0.228 0.308
0.228 0.308
0.227 0.308
0.227 0.307
0.227 0.308
0.228 0.308
0.227 0.308
0.227 0.308
0.228 0.309
0.228 0.309
0.228 0.309
0.228 0.309
0.228 0.309
0.229 0.309
0.229 0.309
0.229 0.310
0.228 0.310
0.228 0.310
0.228 0.309
0.228 0.309
0.228 0.309
0.227 0.310
0.227 0.309
0.227 0.310
0.227 0.309
0.228 0.310
0.228 0.310
0.227 0.310
0.227 0.311
0.228 0.311
0.228 0.310
0.227 0.310
0.227 0.311
