beta  ances 
0.179 0.346
0.185 0.343
0.186 0.342
0.190 0.342
0.192 0.340
0.191 0.341
0.191 0.342
0.189 0.342
0.189 0.344
0.190 0.345
0.191 0.342
0.191 0.343
0.191 0.343
0.191 0.344
0.191 0.344
0.192 0.345
0.192 0.345
0.192 0.346
0.192 0.344
0.192 0.345
0.192 0.344
0.192 0.344
0.191 0.344
0.191 0.344
0.191 0.344
0.192 0.343
0.191 0.343
0.190 0.343
0.190 0.343
0.191 0.343
0.192 0.343
0.191 0.343
0.191 0.343
0.191 0.343
0.191 0.344
0.191 0.344
0.191 0.344
0.191 0.344
0.192 0.343
0.192 0.343
0.192 0.343
0.191 0.343
0.191 0.343
0.192 0.343
0.192 0.342
0.192 0.343
0.192 0.343
0.192 0.343
0.192 0.343
