beta  ances 
0.221 0.325
0.221 0.318
0.219 0.317
0.217 0.317
0.216 0.318
0.217 0.315
0.218 0.314
0.219 0.317
0.220 0.315
0.220 0.314
0.220 0.313
0.221 0.312
0.221 0.311
0.221 0.311
0.222 0.311
0.222 0.311
0.222 0.311
0.222 0.310
0.222 0.310
0.222 0.310
0.222 0.310
0.222 0.310
0.222 0.311
0.223 0.311
0.223 0.312
0.223 0.312
0.223 0.312
0.223 0.312
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.311
0.224 0.312
0.224 0.312
0.225 0.311
0.224 0.312
0.224 0.312
0.224 0.312
0.224 0.312
0.224 0.311
0.224 0.311
