beta  ances 
0.234 0.279
0.231 0.277
0.226 0.282
0.226 0.284
0.225 0.286
0.223 0.290
0.224 0.292
0.222 0.292
0.222 0.292
0.221 0.293
0.221 0.293
0.221 0.295
0.222 0.294
0.222 0.292
0.222 0.292
0.222 0.293
0.222 0.294
0.223 0.295
0.223 0.295
0.223 0.295
0.222 0.295
0.222 0.296
0.222 0.295
0.221 0.295
0.221 0.295
0.220 0.295
0.221 0.296
0.221 0.295
0.221 0.295
0.221 0.295
0.222 0.296
0.222 0.296
0.222 0.297
0.222 0.296
0.222 0.296
0.222 0.296
0.222 0.295
0.222 0.296
0.223 0.296
0.223 0.296
0.223 0.296
0.223 0.296
0.223 0.296
0.222 0.296
0.222 0.296
0.222 0.296
0.222 0.297
0.222 0.297
0.222 0.297
