beta  ances 
0.224 0.309
0.227 0.319
0.230 0.321
0.231 0.325
0.229 0.325
0.223 0.325
0.220 0.326
0.222 0.327
0.222 0.327
0.222 0.327
0.221 0.325
0.221 0.325
0.222 0.327
0.222 0.328
0.222 0.328
0.223 0.329
0.222 0.330
0.222 0.329
0.223 0.330
0.222 0.330
0.222 0.329
0.222 0.328
0.221 0.329
0.222 0.329
0.221 0.330
0.220 0.329
0.221 0.329
0.221 0.329
0.221 0.329
0.221 0.330
0.220 0.330
0.220 0.330
0.220 0.330
0.220 0.330
0.221 0.330
0.221 0.331
0.221 0.331
0.220 0.331
0.220 0.331
0.220 0.331
0.221 0.331
0.220 0.332
0.221 0.332
0.220 0.332
0.221 0.332
0.220 0.331
0.221 0.331
0.221 0.331
0.220 0.332
