beta  ances 
0.209 0.309
0.205 0.303
0.201 0.302
0.195 0.304
0.198 0.301
0.196 0.303
0.196 0.302
0.199 0.302
0.199 0.304
0.200 0.303
0.200 0.304
0.201 0.304
0.200 0.305
0.198 0.303
0.199 0.303
0.197 0.304
0.198 0.304
0.197 0.305
0.197 0.305
0.197 0.306
0.197 0.306
0.196 0.307
0.196 0.308
0.196 0.307
0.197 0.307
0.197 0.307
0.197 0.308
0.197 0.308
0.197 0.308
0.197 0.308
0.197 0.307
0.196 0.307
0.196 0.307
0.196 0.307
0.196 0.307
0.196 0.307
0.196 0.307
0.196 0.308
0.195 0.308
0.195 0.308
0.195 0.308
0.195 0.308
0.195 0.308
0.195 0.307
0.195 0.307
0.195 0.307
0.195 0.307
0.195 0.306
0.195 0.306
