beta  ances 
0.228 0.368
0.225 0.371
0.225 0.365
0.222 0.362
0.221 0.364
0.222 0.362
0.222 0.362
0.222 0.362
0.224 0.362
0.224 0.362
0.223 0.363
0.222 0.363
0.223 0.363
0.224 0.363
0.223 0.362
0.222 0.364
0.222 0.364
0.222 0.363
0.222 0.364
0.221 0.365
0.222 0.365
0.222 0.365
0.222 0.365
0.222 0.365
0.222 0.364
0.222 0.364
0.222 0.364
0.222 0.364
0.222 0.364
0.222 0.364
0.222 0.363
0.223 0.364
0.223 0.364
0.223 0.365
0.223 0.364
0.223 0.364
0.223 0.365
0.224 0.365
0.224 0.364
0.224 0.364
0.224 0.364
0.224 0.365
0.223 0.365
0.223 0.365
0.223 0.365
0.224 0.365
0.224 0.366
0.224 0.365
0.224 0.365
