beta  ances 
0.218 0.308
0.207 0.316
0.205 0.320
0.207 0.318
0.205 0.317
0.206 0.317
0.207 0.320
0.208 0.318
0.207 0.318
0.206 0.318
0.204 0.317
0.204 0.317
0.205 0.318
0.205 0.318
0.206 0.317
0.206 0.317
0.205 0.318
0.205 0.319
0.205 0.318
0.205 0.318
0.205 0.318
0.205 0.318
0.204 0.318
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.204 0.320
0.205 0.320
0.204 0.320
0.204 0.320
0.203 0.320
0.203 0.320
0.203 0.321
0.203 0.320
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
0.203 0.321
