beta  ances 
0.210 0.332
0.210 0.325
0.207 0.322
0.206 0.321
0.205 0.318
0.206 0.322
0.205 0.321
0.202 0.321
0.202 0.321
0.204 0.320
0.203 0.320
0.203 0.321
0.202 0.320
0.202 0.319
0.203 0.318
0.202 0.318
0.202 0.316
0.202 0.317
0.203 0.317
0.204 0.316
0.205 0.316
0.205 0.317
0.205 0.316
0.205 0.316
0.205 0.316
0.205 0.315
0.205 0.316
0.205 0.316
0.205 0.317
0.205 0.316
0.205 0.315
0.205 0.315
0.205 0.315
0.205 0.315
0.204 0.315
0.204 0.315
0.204 0.315
0.204 0.315
0.204 0.316
0.203 0.315
0.203 0.315
0.203 0.315
0.203 0.315
0.203 0.315
0.203 0.314
0.203 0.315
0.203 0.314
0.202 0.314
0.202 0.313
