beta  ances 
0.215 0.321
0.216 0.305
0.214 0.300
0.219 0.292
0.218 0.294
0.221 0.296
0.221 0.299
0.221 0.297
0.222 0.297
0.222 0.299
0.222 0.299
0.221 0.299
0.220 0.299
0.221 0.300
0.221 0.301
0.222 0.301
0.222 0.299
0.222 0.299
0.222 0.299
0.221 0.298
0.221 0.299
0.221 0.298
0.221 0.299
0.221 0.299
0.220 0.299
0.221 0.299
0.220 0.298
0.220 0.298
0.221 0.298
0.221 0.298
0.221 0.298
0.221 0.298
0.221 0.298
0.221 0.298
0.220 0.298
0.220 0.298
0.220 0.298
0.220 0.298
0.221 0.298
0.220 0.298
0.220 0.298
0.220 0.298
0.220 0.299
0.220 0.299
0.220 0.299
0.220 0.299
0.220 0.299
0.220 0.299
0.220 0.299
