beta  ances 
0.231 0.307
0.231 0.313
0.224 0.317
0.224 0.309
0.223 0.306
0.223 0.305
0.223 0.306
0.220 0.306
0.218 0.307
0.217 0.307
0.217 0.307
0.216 0.308
0.215 0.309
0.216 0.309
0.217 0.309
0.218 0.308
0.218 0.307
0.219 0.307
0.218 0.307
0.217 0.308
0.217 0.307
0.217 0.308
0.217 0.307
0.216 0.307
0.217 0.307
0.217 0.307
0.217 0.307
0.217 0.307
0.217 0.308
0.217 0.307
0.217 0.307
0.216 0.307
0.216 0.308
0.217 0.308
0.217 0.309
0.217 0.309
0.216 0.308
0.217 0.309
0.216 0.309
0.217 0.309
0.217 0.309
0.216 0.310
0.216 0.309
0.216 0.309
0.216 0.309
0.216 0.309
0.216 0.309
0.216 0.309
0.216 0.309
