beta  ances 
0.214 0.335
0.214 0.340
0.212 0.333
0.212 0.330
0.210 0.328
0.208 0.328
0.209 0.329
0.208 0.327
0.208 0.324
0.207 0.324
0.206 0.325
0.206 0.325
0.205 0.325
0.205 0.325
0.205 0.325
0.204 0.325
0.204 0.325
0.205 0.326
0.205 0.326
0.205 0.325
0.205 0.325
0.206 0.326
0.206 0.326
0.205 0.325
0.205 0.325
0.204 0.325
0.204 0.326
0.204 0.326
0.204 0.326
0.204 0.325
0.203 0.326
0.203 0.326
0.204 0.326
0.204 0.326
0.204 0.326
0.204 0.326
0.204 0.325
0.205 0.325
0.205 0.326
0.205 0.326
0.206 0.326
0.206 0.326
0.206 0.326
0.206 0.326
0.206 0.326
0.205 0.326
0.206 0.326
0.206 0.326
0.205 0.326
