beta  ances 
0.220 0.307
0.222 0.316
0.219 0.317
0.222 0.316
0.220 0.317
0.219 0.318
0.219 0.317
0.219 0.317
0.220 0.317
0.220 0.319
0.220 0.321
0.221 0.322
0.220 0.322
0.220 0.322
0.221 0.322
0.221 0.323
0.221 0.323
0.221 0.321
0.222 0.322
0.221 0.322
0.221 0.322
0.220 0.323
0.220 0.324
0.221 0.324
0.220 0.325
0.220 0.325
0.220 0.326
0.220 0.326
0.221 0.325
0.220 0.325
0.220 0.325
0.220 0.325
0.220 0.325
0.220 0.324
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.326
0.219 0.325
0.219 0.325
0.219 0.325
0.219 0.324
0.219 0.324
0.219 0.324
