beta  ances 
0.195 0.323
0.194 0.319
0.191 0.316
0.194 0.315
0.196 0.320
0.193 0.322
0.193 0.322
0.193 0.321
0.193 0.320
0.191 0.319
0.191 0.320
0.192 0.319
0.192 0.320
0.192 0.321
0.192 0.320
0.193 0.320
0.193 0.320
0.193 0.318
0.193 0.318
0.193 0.318
0.193 0.318
0.193 0.318
0.194 0.319
0.194 0.319
0.194 0.319
0.194 0.320
0.194 0.319
0.195 0.319
0.195 0.319
0.195 0.319
0.195 0.319
0.195 0.319
0.195 0.318
0.195 0.318
0.195 0.318
0.196 0.318
0.196 0.318
0.196 0.318
0.196 0.318
0.197 0.318
0.197 0.317
0.197 0.317
0.197 0.317
0.197 0.317
0.196 0.316
0.196 0.316
0.196 0.317
0.197 0.317
0.197 0.316
