beta  ances 
0.227 0.320
0.226 0.325
0.224 0.324
0.223 0.325
0.225 0.322
0.226 0.325
0.227 0.325
0.226 0.324
0.227 0.320
0.226 0.319
0.225 0.319
0.224 0.318
0.224 0.318
0.224 0.319
0.224 0.318
0.225 0.318
0.224 0.317
0.223 0.317
0.223 0.316
0.223 0.316
0.223 0.315
0.223 0.316
0.224 0.316
0.224 0.317
0.224 0.317
0.223 0.317
0.224 0.317
0.223 0.315
0.223 0.315
0.222 0.315
0.222 0.315
0.223 0.315
0.222 0.315
0.222 0.315
0.222 0.315
0.221 0.314
0.222 0.314
0.222 0.314
0.221 0.314
0.221 0.314
0.221 0.314
0.221 0.314
0.221 0.314
0.221 0.313
0.221 0.314
0.221 0.313
0.220 0.313
0.221 0.313
0.221 0.312
