beta  ances 
0.205 0.315
0.210 0.313
0.208 0.312
0.208 0.310
0.209 0.309
0.210 0.311
0.207 0.311
0.208 0.310
0.208 0.311
0.209 0.310
0.210 0.309
0.209 0.310
0.209 0.309
0.208 0.309
0.208 0.308
0.208 0.307
0.208 0.309
0.206 0.309
0.206 0.310
0.206 0.309
0.207 0.310
0.207 0.310
0.208 0.310
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
0.207 0.311
0.207 0.311
0.208 0.311
0.208 0.312
0.208 0.312
0.208 0.312
0.208 0.311
0.208 0.310
0.208 0.310
0.208 0.310
0.208 0.310
0.208 0.310
0.208 0.310
0.208 0.310
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
0.208 0.311
