beta  ances 
0.217 0.316
0.220 0.320
0.225 0.312
0.223 0.306
0.221 0.304
0.218 0.305
0.219 0.306
0.220 0.308
0.219 0.308
0.218 0.308
0.220 0.309
0.220 0.308
0.220 0.308
0.219 0.307
0.219 0.305
0.218 0.305
0.219 0.306
0.219 0.307
0.219 0.308
0.219 0.308
0.220 0.308
0.220 0.308
0.220 0.307
0.219 0.308
0.219 0.308
0.220 0.308
0.219 0.308
0.220 0.307
0.220 0.307
0.220 0.308
0.220 0.307
0.220 0.308
0.220 0.308
0.221 0.308
0.221 0.308
0.221 0.308
0.221 0.308
0.221 0.308
0.221 0.308
0.221 0.308
0.221 0.309
0.221 0.309
0.221 0.309
0.221 0.308
0.221 0.308
0.222 0.308
0.222 0.308
0.222 0.309
0.222 0.309
